GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
0900580490,06000US0900580490,"Watertown town, Litchfield County, Connecticut",8476,274,6975,312,5295,248,4626,249,1771,200,2855,289,669,156,152,80,60,58,92,58,517,140,239,100,278,109,1680,293,1501,242,654,181,339,144,168,100,171,92,315,111,94,93,38,57,56,67,221,85,100,53,121,70,847,195
0900586440,06000US0900586440,"Winchester town, Litchfield County, Connecticut",4819,265,2917,314,2123,273,1670,241,498,143,1172,214,453,153,147,105,25,32,122,103,306,125,119,64,187,104,794,166,1902,258,1003,265,731,226,287,128,444,186,272,144,84,96,67,91,17,27,188,114,106,91,82,60,899,236
0900587910,06000US0900587910,"Woodbury town, Litchfield County, Connecticut",4096,176,3140,214,2275,148,2016,157,761,115,1255,166,259,80,55,40,39,33,16,24,204,74,73,41,131,64,865,189,956,122,477,112,340,106,205,91,135,64,137,51,14,13,6,10,8,13,123,49,52,39,71,39,479,131
0900714300,06000US0900714300,"Chester town, Middlesex County, Connecticut",1853,139,1301,109,935,104,794,115,274,77,520,115,141,68,78,53,24,36,54,40,63,40,36,29,27,29,366,101,552,136,153,68,77,36,39,32,38,22,76,65,0,12,0,12,0,12,76,65,76,65,0,12,399,134
0900715350,06000US0900715350,"Clinton town, Middlesex County, Connecticut",5313,198,4297,228,3226,173,2699,183,968,123,1731,153,527,108,130,57,78,52,52,34,397,89,132,66,265,76,1071,184,1016,170,434,119,233,99,96,67,137,63,201,87,76,64,57,61,19,20,125,52,74,38,51,32,582,146
0900718080,06000US0900718080,"Cromwell town, Middlesex County, Connecticut",5501,252,4546,234,3358,193,2817,203,1142,122,1675,193,541,148,100,56,25,24,75,51,441,133,159,89,282,94,1188,215,955,162,350,109,214,80,39,43,175,71,136,88,33,45,33,45,0,19,103,68,30,33,73,58,605,153
0900719130,06000US0900719130,"Deep River town, Middlesex County, Connecticut",1882,118,1554,135,1123,113,980,99,312,62,668,87,143,72,9,15,0,12,9,15,134,70,73,51,61,41,431,127,328,98,119,65,75,49,37,38,38,33,44,44,6,10,6,10,0,12,38,42,38,42,0,12,209,88
0900720810,06000US0900720810,"Durham town, Middlesex County, Connecticut",2582,155,2356,198,1942,170,1752,163,786,109,966,159,190,76,52,48,34,40,18,28,138,64,65,48,73,47,414,157,226,112,153,99,54,44,13,20,41,40,99,89,40,61,40,61,0,17,59,65,59,65,0,17,73,72
0900722280,06000US0900722280,"East Haddam town, Middlesex County, Connecticut",3500,193,2955,220,2229,172,1994,162,784,113,1210,126,235,103,80,46,0,17,80,46,155,79,93,61,62,50,726,201,545,165,277,116,174,72,94,60,80,52,103,83,17,26,17,26,0,17,86,76,72,75,14,12,268,126
0900722490,06000US0900722490,"East Hampton town, Middlesex County, Connecticut",4990,183,4388,208,3317,196,3060,189,1305,155,1755,190,257,92,74,60,35,48,39,36,183,75,73,46,110,61,1071,185,602,151,214,113,139,100,49,42,90,87,75,62,24,26,0,19,24,26,51,56,51,56,0,19,388,119
0900726270,06000US0900726270,"Essex town, Middlesex County, Connecticut",2916,146,2402,172,1689,121,1472,149,530,111,942,142,217,123,81,87,52,82,29,35,136,96,34,38,102,84,713,177,514,143,199,93,119,67,32,36,87,55,80,60,19,28,19,28,0,17,61,51,33,38,28,35,315,125
0900735230,06000US0900735230,"Haddam town, Middlesex County, Connecticut",3192,143,2892,173,2245,161,1947,181,763,122,1184,177,298,106,64,52,36,42,28,32,234,88,162,83,72,45,647,165,300,135,211,127,97,66,21,31,76,81,114,116,54,87,54,87,0,17,60,80,49,77,11,18,89,44
0900740710,06000US0900740710,"Killingworth town, Middlesex County, Connecticut",2590,111,2458,114,1908,132,1760,134,623,90,1137,143,148,71,75,64,43,46,32,37,73,45,12,18,61,48,550,158,132,76,99,69,82,64,82,64,0,17,17,26,0,17,0,17,0,17,17,26,17,26,0,17,33,38
0900747080,06000US0900747080,"Middlefield town, Middlesex County, Connecticut",1729,101,1577,106,1171,84,980,96,408,81,572,95,191,74,60,50,60,50,0,12,131,54,75,42,56,36,406,114,152,63,58,31,30,26,0,12,30,26,28,25,7,12,7,12,0,12,21,22,21,22,0,12,94,56
0900747360,06000US0900747360,"Middletown town, Middlesex County, Connecticut",19419,504,10312,480,7027,391,5569,390,2019,265,3550,299,1458,222,596,160,238,121,358,107,862,166,369,130,493,110,3285,394,9107,537,3791,387,1559,253,589,192,970,193,2232,348,367,134,105,73,262,122,1865,324,1279,275,586,187,5316,403
0900757320,06000US0900757320,"Old Saybrook town, Middlesex County, Connecticut",4217,168,3545,235,2561,204,2222,220,732,132,1490,197,339,150,142,88,52,50,90,72,197,111,70,38,127,100,984,202,672,171,381,137,253,106,132,80,121,85,128,84,100,95,87,91,13,19,28,35,28,35,0,19,291,106
0900761800,06000US0900761800,"Portland town, Middlesex County, Connecticut",3955,178,3246,176,2392,151,2058,177,835,148,1223,168,334,140,136,101,49,76,87,75,198,102,111,89,87,51,854,174,709,131,293,106,171,81,53,44,118,64,122,70,17,22,17,22,0,17,105,70,32,30,73,60,416,112
0900781680,06000US0900781680,"Westbrook town, Middlesex County, Connecticut",2733,153,2175,173,1519,179,1211,167,433,121,778,150,308,107,178,103,27,32,151,98,130,84,64,64,66,51,656,180,558,153,189,98,119,78,43,56,76,51,70,67,50,65,0,17,50,65,20,25,7,14,13,21,369,132
0900901220,06000US0900901220,"Ansonia town, New Haven County, Connecticut",7240,363,3956,321,2737,234,2185,209,710,140,1475,200,552,153,109,57,9,18,100,54,443,145,174,116,269,95,1219,237,3284,361,1901,261,999,219,545,169,454,153,902,227,209,86,98,68,111,66,693,216,484,183,209,119,1383,293
0900903250,06000US0900903250,"Beacon Falls town, New Haven County, Connecticut",2334,135,1921,131,1392,116,1211,130,480,99,731,118,181,78,59,43,13,21,46,40,122,66,69,46,53,47,529,134,413,122,120,76,56,55,42,50,14,22,64,46,18,25,0,17,18,25,46,43,30,33,16,25,293,112
0900904580,06000US0900904580,"Bethany town, New Haven County, Connecticut",2034,93,1842,100,1437,89,1275,102,558,95,717,90,162,72,54,52,25,39,29,26,108,49,67,39,41,32,405,97,192,82,64,46,17,27,17,27,0,17,47,39,31,35,31,35,0,17,16,17,8,12,8,12,128,66
0900907310,06000US0900907310,"Branford town, New Haven County, Connecticut",12410,311,8473,416,5416,358,4587,339,1436,211,3151,260,829,181,173,75,0,22,173,75,656,180,257,110,399,125,3057,304,3937,343,1901,307,1060,235,406,170,654,173,841,216,178,101,62,50,116,89,663,199,414,163,249,107,2036,295
0900914160,06000US0900914160,"Cheshire town, New Haven County, Connecticut",9799,313,8624,376,6752,304,5799,319,2534,208,3265,255,953,253,248,107,116,63,132,74,705,196,331,148,374,124,1872,289,1175,219,609,184,483,153,135,63,348,133,126,97,33,31,18,20,15,24,93,91,93,91,0,22,566,129
0900919550,06000US0900919550,"Derby town, New Haven County, Connecticut",4972,300,2897,310,1959,251,1529,235,405,121,1124,213,430,195,88,79,0,19,88,79,342,159,126,106,216,130,938,199,2075,269,1082,234,512,159,343,149,169,75,570,226,161,132,95,97,66,90,409,206,288,190,121,93,993,257
0900922910,06000US0900922910,"East Haven town, New Haven County, Connecticut",11215,326,7989,406,5856,343,4479,320,1684,231,2795,272,1377,232,489,144,104,63,385,133,888,170,235,91,653,143,2133,304,3226,352,1228,235,454,145,145,86,309,116,774,175,144,104,75,88,69,56,630,146,402,114,228,109,1998,306
0900934950,06000US0900934950,"Guilford town, New Haven County, Connecticut",8814,216,7544,288,5833,246,5136,253,1901,196,3235,239,697,139,250,86,79,53,171,73,447,117,253,92,194,70,1711,243,1270,238,444,140,191,96,115,85,76,43,253,121,124,100,124,100,0,22,129,73,114,67,15,24,826,170
0900935650,06000US0900935650,"Hamden town, New Haven County, Connecticut",23374,706,15312,610,10624,496,8651,473,3042,282,5609,399,1973,265,412,149,204,116,208,86,1561,224,666,182,895,150,4688,454,8062,494,3660,381,2071,294,930,220,1141,241,1589,298,229,122,113,90,116,81,1360,265,1142,262,218,107,4402,450
0900944560,06000US0900944560,"Madison town, New Haven County, Connecticut",6727,228,5886,269,4817,208,4406,235,1815,151,2591,259,411,115,81,61,65,55,16,26,330,98,141,67,189,86,1069,183,841,195,273,112,160,78,106,60,54,45,113,87,44,50,0,19,44,50,69,69,69,69,0,19,568,165
0900946520,06000US0900946520,"Meriden town, New Haven County, Connecticut",24018,497,14626,565,10283,465,8142,477,2166,245,5976,431,2141,337,722,190,406,158,316,94,1419,263,535,147,884,203,4343,378,9392,517,5128,473,2083,346,1155,228,928,213,3045,388,652,185,242,139,410,178,2393,350,1651,305,742,198,4264,430
0900946940,06000US0900946940,"Middlebury town, New Haven County, Connecticut",2761,102,2471,101,2003,102,1772,137,745,95,1027,118,231,76,51,34,0,17,51,34,180,67,77,44,103,55,468,118,290,86,88,46,75,44,22,19,53,39,13,14,5,9,5,9,0,17,8,11,0,17,8,11,202,77
0900947535,06000US0900947535,"Milford town, New Haven County, Connecticut",21199,399,16379,455,11564,329,9672,352,3628,281,6044,343,1892,230,540,143,168,74,372,130,1352,161,462,127,890,138,4815,400,4820,311,2011,250,1254,207,702,160,552,126,757,176,176,102,176,102,0,28,581,151,375,138,206,77,2809,310
0900949950,06000US0900949950,"Naugatuck town, New Haven County, Connecticut",12157,384,8080,450,6043,337,4864,350,1927,280,2937,253,1179,228,570,191,270,135,300,153,609,143,305,105,304,115,2037,294,4077,456,2092,319,1111,288,575,214,536,193,981,224,160,114,122,103,38,49,821,212,513,187,308,147,1985,331
0900952070,06000US0900952070,"New Haven town, New Haven County, Connecticut",49945,845,14722,715,9799,598,6894,546,2750,314,4144,449,2905,375,708,183,237,101,471,150,2197,313,807,215,1390,226,4923,457,35223,897,15976,641,5954,459,3065,355,2889,318,10022,578,1685,287,658,215,1027,208,8337,532,5758,433,2579,292,19247,910
0900953890,06000US0900953890,"North Branford town, New Haven County, Connecticut",5549,188,4872,225,3655,220,3185,221,1142,156,2043,240,470,146,115,77,36,36,79,66,355,127,105,73,250,119,1217,235,677,150,373,109,183,87,64,49,119,73,190,89,33,38,18,30,15,23,157,84,100,66,57,73,304,113
0900954870,06000US0900954870,"North Haven town, New Haven County, Connecticut",8590,276,7386,323,5705,244,4927,239,1881,173,3046,220,778,168,347,110,76,52,271,95,431,129,166,74,265,99,1681,218,1204,188,572,130,438,130,202,103,236,105,134,74,34,33,34,33,0,22,100,65,29,28,71,54,632,127
0900957600,06000US0900957600,"Orange town, New Haven County, Connecticut",4841,148,4268,153,3580,161,3136,166,1280,127,1856,151,444,104,63,43,22,30,41,29,381,99,139,64,242,79,688,100,573,106,240,88,178,78,117,67,61,43,62,41,0,19,0,19,0,19,62,41,53,41,9,12,333,81
0900958300,06000US0900958300,"Oxford town, New Haven County, Connecticut",4411,145,3889,196,3418,183,2923,186,1158,124,1765,199,495,148,157,83,32,33,125,75,338,130,129,80,209,86,471,140,522,152,278,126,120,77,16,26,104,77,158,98,56,65,38,47,18,29,102,83,85,87,17,28,244,99
0900962290,06000US0900962290,"Prospect town, New Haven County, Connecticut",3256,140,2965,170,2313,167,2019,176,772,102,1247,172,294,87,98,62,24,26,74,58,196,69,43,40,153,64,652,145,291,105,126,84,50,51,31,42,19,27,76,73,0,17,0,17,0,17,76,73,10,16,66,71,165,84
0900967610,06000US0900967610,"Seymour town, New Haven County, Connecticut",6090,248,4606,259,3510,186,2840,217,1324,143,1516,206,670,170,187,102,126,89,61,48,483,139,112,71,371,131,1096,215,1484,206,619,156,387,123,161,78,226,91,232,105,0,19,0,19,0,19,232,105,153,91,79,55,865,159
0900969640,06000US0900969640,"Southbury town, New Haven County, Connecticut",7841,298,6746,298,4580,223,3994,262,1554,196,2440,239,586,147,232,108,182,105,50,34,354,94,153,63,201,72,2166,297,1095,191,456,132,296,114,102,76,194,103,160,73,35,27,29,26,6,8,125,65,54,45,71,46,639,172
0900978740,06000US0900978740,"Wallingford town, New Haven County, Connecticut",17169,365,12871,319,9601,340,8078,376,3177,248,4901,296,1523,222,368,131,96,84,272,104,1155,193,449,117,706,155,3270,324,4298,294,2016,244,1176,202,433,146,743,181,840,178,218,108,36,33,182,105,622,183,403,144,219,111,2282,273
0900980070,06000US0900980070,"Waterbury town, New Haven County, Connecticut",40960,746,19130,750,13529,630,10028,532,3515,360,6513,439,3501,330,1033,183,318,117,715,152,2468,330,959,214,1509,232,5601,473,21830,860,12285,601,3968,412,2139,343,1829,287,8317,470,1289,247,642,169,647,173,7028,445,4791,409,2237,324,9545,640
0900982870,06000US0900982870,"West Haven town, New Haven County, Connecticut",20463,542,11153,532,7662,392,6054,369,2249,256,3805,314,1608,300,372,125,84,54,288,126,1236,276,461,157,775,195,3491,351,9310,445,4909,411,1969,304,1105,261,864,168,2940,428,344,119,190,90,154,84,2596,408,1528,333,1068,268,4401,471
0900987560,06000US0900987560,"Wolcott town, New Haven County, Connecticut",5827,244,5149,264,4105,221,3368,252,1272,139,2096,208,737,168,235,115,78,70,157,92,502,143,264,101,238,91,1044,219,678,156,266,125,209,111,102,72,107,96,57,54,34,51,0,19,34,51,23,22,23,22,0,19,412,121
0900987700,06000US0900987700,"Woodbridge town, New Haven County, Connecticut",3090,166,2799,159,2288,129,2060,149,902,94,1158,150,228,85,61,48,22,27,39,38,167,72,81,49,86,52,511,134,291,113,100,64,86,60,45,39,41,42,14,23,0,17,0,17,0,17,14,23,0,17,14,23,191,116
0901106820,06000US0901106820,"Bozrah town, New London County, Connecticut",1049,68,857,74,717,57,586,63,170,44,416,61,131,44,69,29,21,17,48,26,62,34,45,35,17,13,140,52,192,52,90,48,77,45,70,44,7,8,13,11,5,7,5,7,0,12,8,8,0,12,8,8,102,46
0901115910,06000US0901115910,"Colchester town, New London County, Connecticut",5785,222,4660,280,3758,214,3110,248,1526,171,1584,188,648,186,161,104,70,50,91,75,487,168,345,142,142,92,902,212,1125,215,594,155,358,134,160,97,198,99,236,84,81,55,55,47,26,30,155,73,124,68,31,31,531,143
0901123400,06000US0901123400,"East Lyme town, New London County, Connecticut",7263,201,5811,232,4245,208,3593,207,1204,119,2389,180,652,132,232,109,117,86,115,58,420,109,264,89,156,57,1566,207,1452,210,765,175,435,140,224,98,211,87,330,106,125,59,113,61,12,15,205,88,146,79,59,41,687,151
0901129910,06000US0901129910,"Franklin town, New London County, Connecticut",740,38,647,36,512,38,456,36,161,26,295,33,56,23,28,19,10,10,18,14,28,14,19,12,9,8,135,26,93,26,39,22,26,19,4,5,22,19,13,9,2,3,0,12,2,3,11,9,8,8,3,4,54,25
0901133900,06000US0901133900,"Griswold town, New London County, Connecticut",4404,267,3217,238,2472,224,2070,218,717,143,1353,201,402,144,190,103,93,78,97,64,212,107,198,105,14,22,745,174,1187,225,563,155,242,182,137,119,105,92,321,157,151,113,119,106,32,47,170,99,126,84,44,49,624,190
0901134250,06000US0901134250,"Groton town, New London County, Connecticut",16283,437,7721,391,5217,280,4306,258,1387,158,2919,258,911,195,175,71,69,57,106,45,736,177,273,107,463,141,2504,285,8562,423,4459,289,2549,274,1606,222,943,208,1910,308,459,209,276,184,183,97,1451,265,1085,247,366,127,4103,398
0901142390,06000US0901142390,"Lebanon town, New London County, Connecticut",2733,148,2488,152,2042,135,1723,147,496,98,1227,161,319,104,143,77,54,52,89,54,176,82,95,63,81,52,446,155,245,111,67,44,28,34,12,20,16,26,39,40,0,17,0,17,0,17,39,40,39,40,0,17,178,100
0901142600,06000US0901142600,"Ledyard town, New London County, Connecticut",5669,230,4666,256,3783,239,3120,276,1203,202,1917,228,663,199,176,110,116,108,60,44,487,172,300,137,187,100,883,218,1003,244,625,195,273,134,123,77,150,106,352,166,81,68,81,68,0,19,271,148,255,147,16,25,378,135
0901143230,06000US0901143230,"Lisbon town, New London County, Connecticut",1635,98,1484,104,1095,82,905,105,362,83,543,101,190,79,72,54,19,21,53,52,118,57,74,47,44,31,389,93,151,65,62,43,52,39,11,16,41,43,10,15,0,12,0,12,0,12,10,15,0,12,10,15,89,59
0901144210,06000US0901144210,"Lyme town, New London County, Connecticut",1060,63,891,67,627,64,572,68,137,45,435,67,55,28,23,19,23,19,0,12,32,21,0,12,32,21,264,63,169,54,130,51,102,49,40,23,62,42,28,25,0,12,0,12,0,12,28,25,28,25,0,12,39,34
0901148900,06000US0901148900,"Montville town, New London County, Connecticut",6846,308,5526,301,4113,279,3427,279,1085,169,2342,265,686,160,149,73,51,40,98,66,537,153,303,125,234,91,1413,243,1320,242,634,204,264,116,85,55,179,99,370,171,45,41,22,27,23,27,325,160,250,152,75,51,686,170
0901152350,06000US0901152350,"New London town, New London County, Connecticut",10224,417,3710,324,2238,281,1516,217,444,111,1072,182,722,183,261,120,36,38,225,116,461,140,143,93,318,122,1472,244,6514,441,2899,321,1266,255,872,200,394,137,1633,316,376,161,157,92,219,124,1257,256,909,236,348,124,3615,389
0901155500,06000US0901155500,"North Stonington town, New London County, Connecticut",2036,105,1769,139,1420,148,1195,144,362,100,833,112,225,123,72,79,0,17,72,79,153,97,56,67,97,63,349,137,267,105,197,97,127,85,112,89,15,17,70,58,25,39,25,39,0,17,45,43,45,43,0,17,70,60
0901156270,06000US0901156270,"Norwich town, New London County, Connecticut",16331,494,8530,497,5683,388,4229,353,1629,248,2600,240,1454,306,582,186,107,79,475,180,872,244,467,199,405,134,2847,372,7801,490,3676,371,1546,251,699,198,847,197,2130,354,521,191,365,152,156,89,1609,302,1272,281,337,123,4125,442
0901157040,06000US0901157040,"Old Lyme town, New London County, Connecticut",3216,142,2622,138,2055,133,1737,150,543,81,1194,152,318,109,117,72,55,44,62,58,201,91,119,77,82,44,567,111,594,130,296,121,201,104,61,58,140,82,95,59,57,54,49,52,8,13,38,26,21,24,17,17,298,92
0901162150,06000US0901162150,"Preston town, New London County, Connecticut",1978,126,1586,186,1170,166,1011,148,317,80,694,122,159,72,65,55,35,47,30,23,94,50,43,33,51,37,416,132,392,134,188,108,109,85,70,70,39,40,79,63,22,23,0,12,22,23,57,51,17,26,40,58,204,99
0901166210,06000US0901166210,"Salem town, New London County, Connecticut",1493,99,1408,95,1130,73,955,86,484,72,471,80,175,83,65,52,17,20,48,49,110,58,48,48,62,40,278,93,85,48,52,39,9,12,0,12,9,12,43,36,0,12,0,12,0,12,43,36,32,32,11,17,33,28
0901171670,06000US0901171670,"Sprague town, New London County, Connecticut",1287,82,886,104,593,61,513,61,171,48,342,69,80,35,43,31,43,31,0,12,37,20,6,8,31,18,293,96,401,81,206,56,92,51,37,34,55,39,114,49,47,38,27,29,20,24,67,40,49,41,18,16,195,72
0901173770,06000US0901173770,"Stonington town, New London County, Connecticut",7881,212,5706,244,4126,212,3487,247,1119,144,2368,222,639,148,116,58,35,35,81,48,523,137,228,101,295,108,1580,217,2175,246,894,151,512,129,205,80,307,105,382,117,137,64,106,58,31,25,245,101,127,71,118,77,1281,198
0901178600,06000US0901178600,"Voluntown town, New London County, Connecticut",1038,61,892,68,670,52,580,62,206,42,374,54,90,35,53,33,31,25,22,22,37,32,28,30,9,9,222,52,146,53,56,32,37,22,4,6,33,21,19,23,0,12,0,12,0,12,19,23,19,23,0,12,90,44
0901180280,06000US0901180280,"Waterford town, New London County, Connecticut",7931,257,6732,283,4712,204,4043,230,1317,144,2726,222,669,142,278,112,141,91,137,68,391,110,149,69,242,85,2020,266,1199,202,565,151,289,115,200,95,89,49,276,105,69,43,61,42,8,12,207,94,157,80,50,44,634,160
0901301080,06000US0901301080,"Andover town, Tolland County, Connecticut",1145,78,1009,73,816,80,675,84,291,54,384,89,141,60,75,39,18,25,57,45,66,37,8,12,58,34,193,71,136,58,41,36,22,21,22,21,0,12,19,28,0,12,0,12,0,12,19,28,19,28,0,12,95,49
0901306260,06000US0901306260,"Bolton town, Tolland County, Connecticut",1985,104,1745,117,1336,97,1168,108,431,62,737,100,168,61,35,28,20,24,15,18,133,52,51,35,82,43,409,94,240,70,122,46,85,47,47,37,38,31,37,28,0,12,0,12,0,12,37,28,27,27,10,16,118,58
0901316400,06000US0901316400,"Columbia town, Tolland County, Connecticut",2079,131,1800,169,1402,159,1209,159,382,114,827,118,193,92,83,65,53,56,30,36,110,69,65,56,45,43,398,136,279,108,113,77,91,83,80,81,11,19,22,28,0,17,0,17,0,17,22,28,22,28,0,17,166,81
0901317800,06000US0901317800,"Coventry town, Tolland County, Connecticut",4781,171,4327,204,3467,193,2913,199,1080,151,1833,180,554,150,241,115,121,67,120,93,313,110,180,87,133,73,860,173,454,139,294,107,137,91,13,21,124,90,157,84,0,19,0,19,0,19,157,84,124,93,33,52,160,86
0901325360,06000US0901325360,"Ellington town, Tolland County, Connecticut",6318,235,4329,292,3368,205,2875,232,1453,194,1422,204,493,165,128,80,74,52,54,56,365,138,202,104,163,94,961,227,1989,244,887,219,518,153,246,158,272,102,369,185,111,108,77,93,34,52,258,173,216,168,42,48,1102,198
0901337910,06000US0901337910,"Hebron town, Tolland County, Connecticut",3356,144,3053,171,2564,125,2187,137,1085,100,1102,131,377,99,89,45,46,36,43,28,288,94,165,77,123,59,489,142,303,114,220,109,186,85,45,41,141,78,34,44,0,17,0,17,0,17,34,44,34,44,0,17,83,56
0901344910,06000US0901344910,"Mansfield town, Tolland County, Connecticut",5489,520,3514,349,2536,252,2213,241,798,138,1415,188,323,108,83,56,42,41,41,40,240,94,137,71,103,70,978,181,1975,316,607,172,272,110,143,81,129,66,335,153,125,84,56,47,69,69,210,128,170,106,40,64,1368,247
0901369220,06000US0901369220,"Somers town, Tolland County, Connecticut",3326,170,2858,190,2348,145,2009,130,820,92,1189,125,339,109,179,83,51,42,128,70,160,62,70,35,90,49,510,109,468,106,235,88,92,69,43,46,49,49,143,63,0,19,0,19,0,19,143,63,100,57,43,36,233,90
0901372090,06000US0901372090,"Stafford town, Tolland County, Connecticut",4721,186,3469,235,2517,174,2020,174,742,129,1278,141,497,143,172,70,98,51,74,45,325,120,139,80,186,88,952,184,1252,167,727,161,320,112,153,77,167,81,407,143,70,71,45,55,25,40,337,136,254,132,83,58,525,152
0901376290,06000US0901376290,"Tolland town, Tolland County, Connecticut",5427,181,5093,183,4326,177,3864,197,1918,182,1946,187,462,175,145,108,111,98,34,37,317,139,206,121,111,60,767,188,334,133,147,108,26,30,26,30,0,19,121,105,0,19,0,19,0,19,121,105,49,60,72,88,187,93
0901377830,06000US0901377830,"Union town, Tolland County, Connecticut",338,54,317,50,263,45,241,43,91,33,150,38,22,21,4,5,0,12,4,5,18,20,18,20,0,12,54,25,21,20,13,18,11,17,0,12,11,17,2,5,0,12,0,12,0,12,2,5,2,5,0,12,8,8
0901378250,06000US0901378250,"Vernon town, Tolland County, Connecticut",13167,343,7207,383,4825,300,4110,301,1207,186,2903,244,715,149,334,112,127,65,207,95,381,101,157,68,224,87,2382,291,5960,355,2586,291,1270,240,540,156,730,200,1316,278,264,146,134,116,130,86,1052,236,761,199,291,142,3374,296
0901385950,06000US0901385950,"Willington town, Tolland County, Connecticut",2312,178,1561,206,1185,147,995,152,248,83,747,131,190,99,90,85,76,79,14,22,100,53,47,41,53,38,376,130,751,181,290,159,95,95,0,17,95,95,195,126,65,79,17,25,48,76,130,104,90,82,40,59,461,134
0901501430,06000US0901501430,"Ashford town, Windham County, Connecticut",1707,93,1436,106,1037,90,890,103,317,63,573,91,147,63,55,41,22,25,33,33,92,46,34,24,58,42,399,96,271,76,78,45,39,25,24,22,15,16,39,41,0,12,0,12,0,12,39,41,31,39,8,13,193,69
0901509190,06000US0901509190,"Brooklyn town, Windham County, Connecticut",2918,183,2312,197,1896,177,1678,183,555,126,1123,134,218,106,78,62,44,54,34,32,140,93,61,64,79,72,416,147,606,155,303,116,95,59,16,27,79,53,208,104,23,27,12,20,11,19,185,98,172,93,13,22,303,105
0901512130,06000US0901512130,"Canterbury town, Windham County, Connecticut",1931,103,1689,101,1285,88,966,117,317,59,649,107,319,90,192,83,84,67,108,57,127,51,41,33,86,46,404,113,242,90,113,63,38,27,9,14,29,27,75,57,34,36,24,33,10,17,41,44,41,44,0,17,129,59
0901513810,06000US0901513810,"Chaplin town, Windham County, Connecticut",865,58,700,68,561,65,487,63,191,43,296,49,74,40,26,23,0,12,26,23,48,33,22,25,26,20,139,46,165,60,107,52,46,29,7,7,39,28,61,43,20,30,20,30,0,12,41,34,41,34,0,12,58,40
0901521860,06000US0901521860,"Eastford town, Windham County, Connecticut",689,43,583,49,453,43,397,48,121,35,276,39,56,27,16,17,10,15,6,6,40,23,13,10,27,21,130,34,106,40,36,20,33,20,8,8,25,19,3,4,0,12,0,12,0,12,3,4,3,4,0,12,70,32
0901536000,06000US0901536000,"Hampton town, Windham County, Connecticut",746,41,612,47,467,39,398,40,109,21,289,38,69,27,20,15,12,12,8,8,49,23,34,21,15,10,145,35,134,36,60,29,36,23,10,15,26,19,24,18,0,12,0,12,0,12,24,18,9,9,15,15,74,30
0901540500,06000US0901540500,"Killingly town, Windham County, Connecticut",6959,327,4872,383,3313,247,2681,252,1091,176,1590,218,632,182,240,126,112,74,128,103,392,136,213,113,179,81,1559,303,2087,283,1020,215,439,167,223,145,216,106,581,185,80,57,40,44,40,38,501,178,315,134,186,128,1067,244
0901559980,06000US0901559980,"Plainfield town, Windham County, Connecticut",5730,227,4276,237,3234,252,2823,235,860,154,1963,208,411,145,196,123,48,74,148,106,215,79,78,49,137,64,1042,197,1454,248,792,170,338,145,161,113,177,85,454,168,153,101,143,103,10,19,301,138,278,129,23,28,662,167
0901561030,06000US0901561030,"Pomfret town, Windham County, Connecticut",1513,100,1198,120,928,91,880,94,386,84,494,91,48,32,17,18,7,10,10,15,31,25,7,11,24,21,270,78,315,104,145,82,96,53,51,43,45,35,49,59,49,59,49,59,0,12,0,12,0,12,0,12,170,71
0901562710,06000US0901562710,"Putnam town, Windham County, Connecticut",3870,218,2313,228,1635,184,1328,155,369,98,959,125,307,146,111,69,58,57,53,40,196,119,63,44,133,106,678,149,1557,222,844,180,261,108,143,87,118,73,583,194,236,128,110,102,126,78,347,166,304,169,43,36,713,172
0901567400,06000US0901567400,"Scotland town, Windham County, Connecticut",589,39,528,47,429,47,381,47,140,34,241,41,48,22,15,12,0,12,15,12,33,19,17,11,16,15,99,33,61,31,42,27,25,23,0,12,25,23,17,15,3,5,0,12,3,5,14,14,12,14,2,3,19,16
0901573420,06000US0901573420,"Sterling town, Windham County, Connecticut",1208,101,1027,120,826,95,704,114,287,65,417,87,122,61,66,40,43,37,23,22,56,41,7,12,49,39,201,90,181,86,119,76,34,28,34,28,0,12,85,73,7,11,7,11,0,12,78,71,78,71,0,12,62,54
0901575870,06000US0901575870,"Thompson town, Windham County, Connecticut",3673,178,2955,223,1992,176,1724,179,598,99,1126,148,268,88,96,53,27,25,69,51,172,79,68,49,104,64,963,196,718,169,443,144,271,109,108,69,163,101,172,94,76,65,20,36,56,55,96,68,62,54,34,43,275,106
